Brand,Title,Info,Price,Price Before Discount,Discount,Stock
ASUS,ASUS DESKTOP TW S500SC-0G6405003W,Intel Pentium Gold G6405 | RAM 4GB | SSD 256GB | Intel B560 Chipset | Windows 11 Home,11990,,,Unavailable
ASUS,ASUS DESKTOP TW S500SC-310105004TS,Intel Core i3-10105 | RAM 8GB | SSD 512GB | Windows 10 Home - ASUS recommends Windows 10 Pro for business,15990,,2000,Out of stock
ASUS,ASUS DESKTOP TW S500SC-310105004WS,Intel Core i3-10105 | RAM 8GB | SSD 512GB | Intel B560 Chipset | Windows 11 Home,16990,,,Out of stock
ASUS,ASUS DESKTOP TW S500SC-310105044W,Intel Core i3-10105 | RAM 8GB | SSD 256GB | Intel B560 Chipset | Windows 11 Home,14490,,1000,Unavailable
ASUS,ASUS DESKTOP TW S500SD-312100003WS,Intel Core i3-12100 | RAM 4GB | SSD 256GB | Intel UHD Graphics 730 | Windows 11,17990,,,
ASUS,ASUS DESKTOP TW S500TC-511400137W,Intel Core i5-11400 | RAM 8GB | SSD 512GB | NVIDIA GeForce GTX 1650 | Windows 11,25990,,,Out of stock
ASUS,ASUS DESKTOP TW S500TC-711700011W,Intel Core i7-11700 | RAM 8GB | SSD 512GB | Intel B560 Chipset | Windows 11 Home,24990,,1000,Unavailable
ASUS,ASUS DESKTOP TW S500TD-712700013W,Intel Core i7-12700 | RAM 8GB | SSD 512GB | Intel UHD Graphics 770 | Windows 11,28990,,,
ASUS,ASUS DESKTOP TW U500MA-R5600G004WS,AMD Ryzen 5 5600G | RAM 8GB | SSD 512GB | AMD B550 Chipset | Windows 11 Home,20990,,1000,Unavailable
DELL,DELL DESKTOP TW Vostro V3681-W26816510THW10 Black,Intel Core i7-10700 | RAM 8GB | SSD 512GB | Intel UHD Graphics 630 | Windows 11,21990,,8000,Out of stock
DELL,DELL DESKTOP TW VOSTRO V3681_W26868700THW10 BLACK,Intel Core i3-10105 | RAM 4GB | SSD 256GB | Intel UHD Graphics 630 | Windows 11,13990,,,Unavailable
DELL,DELL DESKTOP TW VOSTRO V3710-W2686800STH-BK-W BLACK,,22990,,,Out of stock
DELL,DELL DESKTOP TW Vostro V3888-W26818705BTHCOM Black,Intel Core i7-10700 | RAM 8GB | DDR4 | Intel UHD Graphics 630 | Windows 10 Home 64bit + McAfee LiveSafe 12 month Subscription + Micros,20990,,7900,Out of stock
DELL,DELL DESKTOP TW XPS8950_W267311600TH NIGHT SKY,Intel Core i7-12700 | RAM 16GB | SSD 512GB | NVIDIA GeForce RTX 3060 Ti | Windows 11 Home,68990,,,Unavailable
,HUAWEI DESKTOP TW MATESTATION S,AMD Ryzen 5 4600G | RAM 8GB | SSD 256GB | AMD Radeon Graphics | Windows 10 Home,9990,,,Out of stock
MSI,MSI DESKTOP TW MEG Trident X 11TD-1665TH,Intel Core i7-11700K | RAM 32GB | SSD 1TB | NVIDIA GeForce RTX 3070 VENTUS 2X | Windows 10,86900,,,Out of stock
MSI,MSI DESKTOP TW MPG Trident 3 11SI-038TH,Intel Core I5-11400F | RAM 16GB | SSD 1TB | RTX 1660 SUPER ITX,39900,,,Out of stock
MSI,MSI DESKTOP TW PRO DP21 11M-031TH,Intel Core i3-10105 RAM 8GB | HDD 1TB | Intel UHD Graphics,17900,,,Out of stock
MSI,MSI Gaming Desktop MAG Codex 5 11TC-1004TH,Intel Core i5-11400F | RAM 16GB | SSD 1TB | NVIDIA GeForce RTX 3060 Ti VENTUS 2X 8G OCV1 LHR | Windows 10 Home,45000,,,Out of stock
MSI,MSI Gaming Desktop MAG Infinite S3 11SA-033TH,Intel Core i5-11400F | RAM 16GB | SSD 512GB | NVIDIA GeForce GTX 1650 VENTUS XS | Windows 11 Home,33900,,,Out of stock
MSI,MSI Gaming Desktop MPG Trident AS 11SC-2094TH,Intel Core i5-11400F | RAM 16GB | SSD 1TB | NVIDIA GeForce RTX 2060 VENTUS 6G OC | Windows 10 Home,43900,,,Out of stock
MSI,MSI Gaming Desktop MPG Trident AS 11TG-2093TH,Intel Core i7-11700F | RAM 16GB | SSD 1TB | NVIDIA GeForce RTX 3060 Ti VENTUS 2X 8G OCV1 LHR | Windows 10 Home,63400,,,Out of stock
